dur,wage1,wage2,wage3,cola,hours,pension,stby_pay,shift_diff,educ_allw,holidays,vacation,vacation_quant,lngtrm_disabil,dntl_ins,dntl_ins_quant,bereavement,empl_hplan,event
2,3.0,7.0,,,38,,12,25,true     ,11, ba,0,true            ,half,1,       true  ,,1
2,4.0,5.0,,tcf   ,35,,13,5,,15, gnr,2,,,,,,1
2,4.5,5.8,,,35,ret_allw,,,true     ,11,  ba,0,, full     ,2,,  full,1
2,7.0,5.3,,,,,,,,11,,,true            , full     ,2,,,1
2,4.3,4.4,,,38,,,4,,12, gnr,2,, full     ,2,,  full,1
3,3.7,4.0,5.0,tc    ,,,,,true     ,,,,,,,       true  ,,1
3,4.0,5.0,5.0,tc    ,,empl_contr,,,,12, gnr,2,true            , none     ,0,       true  ,  half,1
2,4.5,4.5,,tcf   ,,,,,true     ,10, ba,0,true            , none     ,0,,  half,1
1,2.8,,,,35,,,2,,12,ba,0,,,,,,1
1,5.0,,,,40,,,2,,11,avg,1,,,,       true  ,,1
3,6.9,4.8,2.3,,40,,,3,,12, ba,0,,,,,,1
2,6.4,6.4,,,38,,,4,,15,,,, full     ,2,,,1
2,2.0,2.5,,,35,,,6,true     ,12, avg,1,,,,,,1
1,6.0,,,,38,,8,3,,9, gnr,2,,,,,,1
3,6.0,6.0,4.0,,35,,,14,,9, gnr,2,true            , full     ,2,       true  ,  full,1
2,4.5,4.0,,,40,,,4,,10, gnr,2,, half     ,1,,  full,1
3,5.0,5.0,5.0,,40,,,,,12, avg,1,, half     ,1,       true  ,  half,1
2,4.6,4.6,,tcf   ,38,,,,,,,,true            , half     ,1,,  half,1
2,2.0,3.0,,none  ,38, empl_contr,,,true       ,12,  gnr,2,true            ,none      ,0,true         , full,0
1,4.0,,,none  ,, none,,, true      ,11,   avg,1,false           ,none      ,0,false        , none,0
3,3.0,2.0,2.5, tc   ,40,none,,5,false      ,10,  ba,0,true            ,half      ,1,true         , full,0
2,2.5,3.0,,,40, none,,,,11,  ba,0,,,,,,0
2,2.5,2.5,,,38, empl_contr,,,,10,  avg,1,,,,,,0
2,4.0,5.0,, none ,40, none,,3, false     ,10,  ba,0, false          ,none      ,0,, none,0
1,2.8,,, none ,38, empl_contr,2,3,false      ,9,  ba,0,true            ,half      ,1,,  none,0
3,2.0,2.5,,,35, none,,,,10,  avg,1,,,, true        , full,0
2,4.5,4.0,,,40,,,2,false      ,10,  ba,0,false           ,half      ,1,, half,0
